2,2025-01-24,2025-01-27,T2 von U1,Task2,Pending,1,f
8,2025-01-27,2025-01-29,hshshsh,hhd,Pending,1,f
9,2025-01-27,2025-01-29,ioooii,kdkkdk,Pending,1,f
17,2025-01-31,2025-02-04,vbb,ygygygy,Pending,1,f
16,2025-01-31,2025-02-08,456789,huhuhu,Completed,1,f
18,2025-01-31,2025-01-29,ww,qqq,Pending,1,f
19,2025-02-01,2025-02-02,kkmmkm,uhuhuh,Pending,2,f
20,2025-02-01,2025-02-15,kl;,IJKIJK,Pending,1,f
22,2025-02-01,2025-02-03,Make Burger,NetTask,Completed,1,f
21,2025-02-01,2025-02-02,kjkjk,NewNewNew,Pending,1,f
23,2025-02-03,2025-02-04,jjdjj,NewUYUY,Pending,1,f
24,2025-02-03,2025-02-05,dd,!!NewYork,Pending,1,f
25,2025-02-03,2025-02-06,dd,ASASA,Pending,1,f
26,2025-02-03,2025-02-13,"",YHJUYHJU,Pending,1,f
27,2025-02-03,2025-02-04,jdhej,New Task,Pending,1,f
28,2025-02-04,2025-02-06,kdj,Test111,Pending,2,t
30,2025-02-04,2025-02-05,"",Test_by_deadline,Pending,2,f
29,2025-02-04,2025-02-27,"",TESTSTSTST,Pending,2,t
31,2025-02-04,2025-02-06,bnkl;,new Task new lklklk,Pending,2,f
4,2025-01-24,2025-01-29,T1 von U2,Task1,Pending,2,f
32,2025-02-07,2025-02-11,",m,m\",RedisTest1,Pending,2,f
33,2025-02-07,2025-02-08,khjh,TestRedis2,Pending,2,f
